 CD1 CD2 CD3 CD4 CD5 CD6 CD7 CD8 CD9 CD10
Hyalostelia 00 00 00 00 03 11 00 00 00 00
crinoid 00 01 00 00 01 37 03 08 03 01
bryo-fenes 00 00 00 01 00 00 00 00 00 00
bryo-praso 01 00 02 03 04 40 01 01 00 00
bryo-ramose 00 02 04 03 03 18 02 04 05 01
ostrocod 00 01 01 10 09 00 00 00 00 00
Tr-Marrolithus 00 00 01 00 01 00 00 00 00 00
Tr-Basilicus 00 01 01 01 03 330 00 01 01 02
Orthocone 00 00 00 00 00 01 00 00 00 00
Nuculid-biv 00 00 00 01 00 00 00 00 00 00
Gastropoda 00 00 00 00 01 00 00 00 00 00
Br-Rostricellula 00 00 01 01 01 16 00 05 00 00
Br-Macrocoelia 06 06 02 15 13 10 01 04 02 01
Br-Sowerbyella 306 225 288 115 422 190 012 025 036 007
Br-Oxoplecia 00 01 00 00 00 00 00 00 00 00
Br-Triplesia 00 00 00 00 00 10 00 01 00 00
Br-Horderleyella 02 00 00 00 02 04 00 01 00 00
Br-Salopia 02 04 00 01 06 00 00 00 00 00
Br-Dalmanella 04 02 04 04 04 28 04 15 08 00
Br-Glyptorthis 00 00 00 00 00 00 01 00 00 00
Br-Hesperorthis 00 00 00 01 00 01 02 03 02 01
Br-Schizotreta 00 00 00 00 00 03 00 00 00 00
Br-Pseudolingula 00 00 00 00 00 03 00 00 00 00
